Date,Cocoa Yield (kg),Cocoa Price per kg,Cocoa Revenue,Plantain Yield (kg),Plantain Price per kg,Plantain Revenue,Total Revenue,Labor Costs,Fertilizer Costs,Transport Costs,Maintenance Costs,Admin Costs,Total Expenses,Profit
2022-01-01,148.7276129,2.725625337,405.3757501,147.236993,0.690445428,101.6591087,507.0348588,293.9828796,87.36951385,68.68300933,36.09119219,51.96326765,538.0898626,-31.05500383
2022-01-02,77.34070719,2.584563245,199.8919492,182.4139089,0.906450505,165.3491798,365.2411289,299.9435347,99.73094697,48.88021939,49.60443368,86.40977244,584.5689071,-219.3277782
2022-01-03,134.9647391,2.871022153,387.4867557,128.5707376,0.564579708,72.58842943,460.0751851,290.8102055,68.49397076,26.00499639,45.2265308,65.17833563,495.714039,-35.6388539
2022-01-04,85.8162718,2.670336388,229.1583133,157.3045154,0.76015385,119.5756331,348.7339464,254.4636783,61.61308009,69.65270502,39.83580774,61.46096815,487.0262394,-138.292293
2022-01-05,137.6653603,3.105224299,427.4818219,87.4219797,0.514391338,44.96910912,472.450931,251.0274511,69.62476411,59.28558377,24.58338727,33.86414591,438.3853322,34.0655988
2022-01-06,51.45446657,3.025881338,155.6951102,146.6892993,0.696122023,102.1136517,257.8087619,187.4949844,92.33269556,34.37788269,38.12952701,75.93744583,428.2725355,-170.4637736
2022-01-07,89.65427823,3.43313005,307.7947967,182.1072821,0.974760312,177.5109511,485.3057479,129.4146962,94.12701001,44.44814052,26.62099747,54.84382416,349.4546683,135.8510795
2022-01-08,148.0032575,3.238927141,479.3717678,112.7377093,0.816700427,92.07293537,571.4447031,148.0291238,26.06906625,19.02158053,20.76206275,34.87367508,248.7555084,322.6891948
2022-01-09,63.88271726,3.461312117,221.1180233,93.64441097,0.672833642,63.00711006,284.1251334,279.357682,57.91693122,56.7290417,22.7543942,37.49878622,454.2568353,-170.1317019
2022-01-10,54.08686163,2.753402595,148.9229051,106.2167441,0.588505242,62.50911069,211.4320158,117.7405068,29.65086969,42.25451376,24.28501733,48.67754097,262.6084485,-51.17643267
2022-01-11,100.3417271,3.535592243,354.7674319,75.11057818,0.899705199,67.57737772,422.3448096,225.5800779,26.54072256,71.15050369,56.43925802,28.97006739,408.6806296,13.66418009
2022-01-12,77.68776481,3.70930192,288.1673752,167.2737597,0.59226051,99.06964221,387.2370174,141.8698647,49.63776822,43.91660896,42.82146472,48.97938657,327.2250931,60.01192422
2022-01-13,96.25347161,3.621206407,348.5536881,74.76881638,0.626218472,46.82161396,395.3753021,242.6699172,91.61654701,45.81742095,38.94510684,31.96618074,451.0151727,-55.63987064
2022-01-14,94.74123668,3.2989259,312.5443195,101.5211655,0.634621615,64.42752604,376.9718455,175.4568326,21.60569582,32.54554159,24.51516031,46.28732789,300.4105582,76.56128726
2022-01-15,61.97621318,3.835790921,237.7277958,147.167019,0.83955116,123.5542414,361.2820373,257.8342477,59.87537591,16.08442017,39.16979438,63.14467267,436.1085109,-74.82647359
